attribute,n_active,mean_active,mean_inactive,median_diff,p_value,cohens_d,effect
full_occlusion,15644,49.1,8.3,3.0,0.000e+00,0.98,Large
out_of_view,13303,40.8,8.5,12.0,0.000e+00,1.394,Large
